id,name,fuel type,units
electricity_bath_fan_kwh,electricity_bath_fan,electricity,kwh
electricity_ceiling_fan_kwh,electricity_ceiling_fan,electricity,kwh
electricity_clothes_dryer_kwh,electricity_clothes_dryer,electricity,kwh
electricity_clothes_washer_kwh,electricity_clothes_washer,electricity,kwh
electricity_cooking_range_kwh,electricity_cooking_range,electricity,kwh
electricity_cooling_kwh,electricity_cooling,electricity,kwh
electricity_dishwasher_kwh,electricity_dishwasher,electricity,kwh
electricity_exterior_holiday_lighting_kwh,electricity_exterior_holiday_lighting,electricity,kwh
electricity_exterior_lighting_kwh,electricity_exterior_lighting,electricity,kwh
electricity_extra_refrigerator_kwh,electricity_extra_refrigerator,electricity,kwh
electricity_fans_cooling_kwh,electricity_fans_cooling,electricity,kwh
electricity_fans_heating_kwh,electricity_fans_heating,electricity,kwh
electricity_freezer_kwh,electricity_freezer,electricity,kwh
electricity_garage_lighting_kwh,electricity_garage_lighting,electricity,kwh
electricity_heating_kwh,electricity_heating,electricity,kwh
electricity_heating_supplemental_kwh,electricity_heating_supplemental,electricity,kwh
electricity_hot_tub_heater_kwh,electricity_hot_tub_heater,electricity,kwh
electricity_hot_tub_pump_kwh,electricity_hot_tub_pump,electricity,kwh
electricity_house_fan_kwh,electricity_house_fan,electricity,kwh
electricity_interior_lighting_kwh,electricity_interior_lighting,electricity,kwh
electricity_plug_loads_kwh,electricity_plug_loads,electricity,kwh
electricity_pool_heater_kwh,electricity_pool_heater,electricity,kwh
electricity_pool_pump_kwh,electricity_pool_pump,electricity,kwh
electricity_pumps_cooling_kwh,electricity_pumps_cooling,electricity,kwh
electricity_pumps_heating_kwh,electricity_pumps_heating,electricity,kwh
electricity_pv_kwh,electricity_pv,electricity,kwh
electricity_range_fan_kwh,electricity_range_fan,electricity,kwh
electricity_recirc_pump_kwh,electricity_recirc_pump,electricity,kwh
electricity_refrigerator_kwh,electricity_refrigerator,electricity,kwh
electricity_vehicle_kwh,electricity_vehicle,electricity,kwh
electricity_water_systems_kwh,electricity_water_systems,electricity,kwh
electricity_well_pump_kwh,electricity_well_pump,electricity,kwh
fuel_oil_heating_mbtu,fuel_oil_heating,fuel oil,mbtu
fuel_oil_water_systems_mbtu,fuel_oil_water_systems,fuel oil,mbtu
natural_gas_clothes_dryer_therm,natural_gas_clothes_dryer,natural gas,therm
natural_gas_cooking_range_therm,natural_gas_cooking_range,natural gas,therm
natural_gas_fireplace_therm,natural_gas_fireplace,natural gas,therm
natural_gas_grill_therm,natural_gas_grill,natural gas,therm
natural_gas_heating_therm,natural_gas_heating,natural gas,therm
natural_gas_hot_tub_heater_therm,natural_gas_hot_tub_heater,natural gas,therm
natural_gas_lighting_therm,natural_gas_lighting,natural gas,therm
natural_gas_pool_heater_therm,natural_gas_pool_heater,natural gas,therm
natural_gas_water_systems_therm,natural_gas_water_systems,natural gas,therm
propane_clothes_dryer_mbtu,propane_clothes_dryer,propane,mbtu
propane_cooking_range_mbtu,propane_cooking_range,propane,mbtu
propane_heating_mbtu,propane_heating,propane,mbtu
propane_water_systems_mbtu,propane_water_systems,propane,mbtu
wood_heating_mbtu,wood_heating,wood heating,mbtu
