id,commercial_end_uses,industrial_end_uses,residential_end_uses,transportation_end_uses
district_cooling_cooling,x,,,
district_heating_heating,x,,,
district_heating_water_systems,x,,,
electricity_bath_fan,,,x,
electricity_ceiling_fan,,,x,
electricity_clothes_dryer,,,x,
electricity_clothes_washer,,,x,
electricity_cooking_range,,,x,
electricity_cooling,x,,x,
electricity_dishwasher,,,x,
electricity_ev_dcfc,,,,x
electricity_ev_l1l2,,,,x
electricity_exterior_holiday_lighting,,,x,
electricity_exterior_lighting,x,,x,
electricity_extra_refrigerator,,,x,
electricity_fans,x,,,
electricity_fans_cooling,,,x,
electricity_fans_heating,,,x,
electricity_freezer,,,x,
electricity_garage_lighting,,,x,
electricity_heat_recovery,x,,,
electricity_heat_rejection,x,,,
electricity_heating,x,,x,
electricity_heating_supplemental,,,x,
electricity_hot_tub_heater,,,x,
electricity_hot_tub_pump,,,x,
electricity_house_fan,,,x,
electricity_interior_equipment,x,,,
electricity_interior_lighting,x,,x,
electricity_plug_loads,,,x,
electricity_pool_heater,,,x,
electricity_pool_pump,,,x,
electricity_pumps,x,,,
electricity_pumps_cooling,,,x,
electricity_pumps_heating,,,x,
electricity_range_fan,,,x,
electricity_recirc_pump,,,x,
electricity_refrigeration,x,,,
electricity_refrigerator,,,x,
electricity_water_systems,x,,x,
electricity_well_pump,,,x,
fuel_oil_heating,x,,x,
fuel_oil_water_systems,x,,x,
natural_gas_clothes_dryer,,,x,
natural_gas_cooking_range,,,x,
natural_gas_fireplace,,,x,
natural_gas_grill,,,x,
natural_gas_heating,x,,x,
natural_gas_hot_tub_heater,,,x,
natural_gas_interior_equipment,x,,,
natural_gas_lighting,,,x,
natural_gas_pool_heater,,,x,
natural_gas_water_systems,x,,x,
propane_clothes_dryer,,,x,
propane_cooking_range,,,x,
propane_heating,x,,x,
propane_water_systems,x,,x,
wood_heating,,,x,
electricity_chp,,x,,
electricity_thermal_dg,,x,,
electricity_dpv,,,,
electricity_unspecified,,,,
