id,commercial_subsectors,residential_subsectors,transportation_subsectors
bev_compact,,,x
bev_midsize,,,x
bev_pickup,,,x
bev_suv,,,x
full_service_restaurant,x,,
hospital,x,,
large_hotel,x,,
large_office,x,,
medium_office,x,,
mobile_home,,x,
multifamily_2_to_4_units,,x,
multifamily_5_plus_units,,x,
outpatient,x,,
phev_compact,,,x
phev_midsize,,,x
phev_pickup,,,x
phev_suv,,,x
primary_school,x,,
quick_service_restaurant,x,,
retail_standalone,x,,
retail_stripmall,x,,
secondary_school,x,,
single_family_attached,,x,
single_family_detached,,x,
small_hotel,x,,
small_office,x,,
warehouse,x,,
unspecified,,,
